"","ORIGIN","DEST","PASSENGERS"
"1","ABE","ALB",2874
"2","ABE","ATL",51611
"3","ABE","AVP",108
"4","ABE","BED",69
"5","ABE","BGR",34
"6","ABE","BHM",17
"7","ABE","BNA",149
"8","ABE","BOS",208
"9","ABE","BTV",33
"10","ABE","BUF",31
"11","ABE","CAE",21
"12","ABE","CHO",3
"13","ABE","CLE",28902
"14","ABE","CLT",28352
"15","ABE","CMH",35
"16","ABE","CVG",42793
"17","ABE","DAB",45
"18","ABE","DAY",110
"19","ABE","DFW",91
"20","ABE","DTW",48624
"21","ABE","EVV",10
"22","ABE","EWR",168
"23","ABE","FLL",28277
"24","ABE","GRB",12
"25","ABE","GRR",47
"26","ABE","GSO",22
"27","ABE","HSV",31
"28","ABE","IAD",23235
"29","ABE","IAH",34
"30","ABE","IND",9
"31","ABE","ISP",21
"32","ABE","JFK",85
"33","ABE","LAN",33
"34","ABE","LCK",9779
"35","ABE","MCO",526
"36","ABE","MDT",22
"37","ABE","MDW",20
"38","ABE","MEM",14
"39","ABE","MHT",72
"40","ABE","MIA",84
"41","ABE","MSN",23
"42","ABE","MSP",222
"43","ABE","MSY",7
"44","ABE","MYR",81
"45","ABE","OMA",24
"46","ABE","ORD",46150
"47","ABE","PHL",51184
"48","ABE","PIE",36810
"49","ABE","PIT",43424
"50","ABE","PWM",240
"51","ABE","RIC",4
"52","ABE","ROA",14
"53","ABE","SBN",3
"54","ABE","SFB",39698
"55","ABE","SLK",2
"56","ABE","TVC",121
"57","ABI","ACT",1
"58","ABI","BPT",2
"59","ABI","CLL",21
"60","ABI","CRP",3
"61","ABI","DFW",52042
"62","ABI","EKO",559
"63","ABI","IAH",14023
"64","ABI","IFP",592
"65","ABI","RNO",231
"66","ABI","SFB",167
"67","ABI","SJT",74
"68","ABI","SPS",7
"69","ABI","TYR",20
"70","ABI","VCT",12
"71","ABQ","ACT",213
"72","ABQ","ADW",61
"73","ABQ","ALM",340
"74","ABQ","AMA",35289
"75","ABQ","ATL",119875
"76","ABQ","AUS",5278
"77","ABQ","BDL",2215
"78","ABQ","BFI",122
"79","ABQ","BHM",2
"80","ABQ","BIL",123
"81","ABQ","BNA",2330
"82","ABQ","BOI",3638
"83","ABQ","BOS",2268
"84","ABQ","BUR",10839
"85","ABQ","BWI",34254
"86","ABQ","CAE",24
"87","ABQ","CLE",1054
"88","ABQ","CLT",68
"89","ABQ","CMH",315
"90","ABQ","CNM",3600
"91","ABQ","COS",4974
"92","ABQ","CRP",4
"93","ABQ","CVG",95192
"94","ABQ","CVN",2231
"95","ABQ","DAL",184715
"96","ABQ","DAY",507
"97","ABQ","DCA",3621
"98","ABQ","DEN",300790
"99","ABQ","DFW",307574
"100","ABQ","DRO",1548
"101","ABQ","DSM",93
"102","ABQ","DTW",2165
"103","ABQ","ELP",56067
"104","ABQ","EUG",144
"105","ABQ","EWR",3084
"106","ABQ","FAT",18
"107","ABQ","FLL",919
"108","ABQ","FMN",7722
"109","ABQ","FNL",98
"110","ABQ","FOE",53
"111","ABQ","GEG",1031
"112","ABQ","GNV",82
"113","ABQ","GSO",1
"114","ABQ","GTF",45
"115","ABQ","HOB",1157
"116","ABQ","HOU",44962
"117","ABQ","HRL",337
"118","ABQ","HSV",6
"119","ABQ","IAD",392
"120","ABQ","IAH",144972
"121","ABQ","ICT",201
"122","ABQ","IFP",403
"123","ABQ","IND",1134
"124","ABQ","JAX",814
"125","ABQ","JFK",850
"126","ABQ","LAR",117
"127","ABQ","LAS",160143
"128","ABQ","LAX",138500
"129","ABQ","LBB",32007
"130","ABQ","LGA",79
"131","ABQ","LIT",1477
"132","ABQ","MAF",25484
"133","ABQ","MCI",46179
"134","ABQ","MCO",57193
"135","ABQ","MDT",4
"136","ABQ","MDW",58749
"137","ABQ","MGE",82
"138","ABQ","MIA",127
"139","ABQ","MSN",101
"140","ABQ","MSP",88011
"141","ABQ","MSY",12799
"142","ABQ","OAK",68867
"143","ABQ","OKC",3487
"144","ABQ","OMA",485
"145","ABQ","ONT",8365
"146","ABQ","ORD",107994
"147","ABQ","ORF",482
"148","ABQ","PBI",181
"149","ABQ","PDX",34408
"150","ABQ","PHL",674
"151","ABQ","PHX",473634
"152","ABQ","PNS",2
"153","ABQ","PSP",2
"154","ABQ","PUB",21
"155","ABQ","PVD",1394
"156","ABQ","PVU",100
"157","ABQ","RDU",2869
"158","ABQ","RIC",267
"159","ABQ","RIV",65
"160","ABQ","RNO",5759
"161","ABQ","ROW",8213
"162","ABQ","RSW",5
"163","ABQ","SAN",84541
"164","ABQ","SAT",21826
"165","ABQ","SBP",23
"166","ABQ","SDF",1
"167","ABQ","SEA",32935
"168","ABQ","SFO",613
"169","ABQ","SJC",15199
"170","ABQ","SLC",94780
"171","ABQ","SMF",4985
"172","ABQ","SNA",700
