"","AIRPORT","LATITUDE","LONGITUDE","PASSENGERS"
"1","1G4",35.988194445,-113.816666665,14142
"2","6B0",43.98513889,-73.095694445,8
"3","ABE",40.65272222,-75.440000002,413935
"4","ABI",32.4106481466667,-99.68111111,73603
"5","ABQ",35.040000002,-106.608277778,2825209
"6","ABR",45.4482870383333,-98.422175925,20087
"7","ABY",31.53388889,-84.195277775,35376
"8","ACK",41.253777782,-70.060055556,111423
"9","ACT",31.611805555,-97.229444445,61350
"10","ACV",40.978101855,-124.108287035,93390
"11","ACY",39.456944445,-74.57777778,665012
"12","ADS",32.96847222,-96.83625,NA
"13","ADW",38.81083333,-76.866999996,1065
"14","AEX",31.325833335,-92.547777775,145767
"15","AFK",40.6062962983333,-95.86689815,10
"16","AFW",32.9884126985714,-97.31892857,1186
"17","AGC",40.3545370333333,-79.9298148166667,6
"18","AGS",33.3694444466667,-81.96444444,245409
"19","AHN",33.948555554,-83.326277776,4356
"20","AIA",42.052999998,-102.804333334,1412
"21","AL4",31.30861111,-86.393055555,114
"22","ALB",42.7475,-73.80361111,1245477
"23","ALM",32.8399999983333,-105.990370371667,369
"24","ALO",42.556527775,-92.4,23044
"25","ALS",37.435333334,-105.867111114,6722
"26","ALW",46.094944444,-118.28811111,29050
"27","AMA",35.2246296266667,-101.71657407,394557
"28","ANB",33.588500004,-85.857611114,490
"29","AND",34.494027775,-82.70972222,285
"30","ANP",38.94277778,-76.56861111,1
"31","AOO",40.296805555,-78.32,4295
"32","APA",39.571458335,-104.84861111,6
"33","APC",38.21263889,-122.28027778,39
"34","APF",26.152444444,-81.775611112,3
"35","APN",45.079861115,-83.558055555,8630
"36","ART",43.991722218,-76.020277778,2180
"37","ASE",39.222833334,-106.868666666,222251
"38","AST",46.15888889,-123.879305555,1383
"39","ATL",33.6384523814286,-84.4276190485714,38392862
"40","ATW",44.258000004,-88.519333336,271633
"41","ATY",44.9105555566667,-97.1543518533333,7803
"42","AUG",44.31930556,-69.796944445,4104
"43","AUS",30.24625,-97.685694445,4194455
"44","AVL",35.43522222,-82.54211111,370749
"45","AVP",41.33861111,-75.72383333,213348
"46","AZ3",33.52708333,-112.29527778,13
"47","AZ4",33.7875,-113.6425,NA
"48","AZA",33.30777778,-111.65555556,409094
"49","AZO",42.235416665,-85.55263889,137044
"50","BAD",32.501888886,-93.662611112,161
"51","BAF",42.158444448,-72.715944442,287
"52","BBX",40.1369444466667,-75.26675926,1
"53","BCE",37.70638889,-112.145277775,23
"54","BCT",26.37083333,-80.10833333,28
"55","BDL",41.938703705,-72.683287035,2614181
"56","BDR",41.16375,-73.125277775,NA
"57","BDY",43.086944445,-124.408055555,14
"58","BED",42.470166666,-71.289222224,5488
"59","BEH",42.128444444,-86.427555554,17
"60","BFD",41.80263889,-78.63972222,2947
"61","BFF",41.87490741,-103.59925926,9276
"62","BFI",47.529444445,-122.30069444,31964
"63","BFK",39.70166667,-104.75166667,11
"64","BFL",35.4325,-119.055555556667,111291
"65","BFM",30.62652778,-88.06805556,NA
"66","BGM",42.207055554,-75.97761111,108916
"67","BGR",44.80763889,-68.82791667,194972
"68","BHB",44.449305555,-68.36166667,11044
"69","BHM",33.5632638925,-86.754722225,1442449
"70","BID",41.167361115,-71.578472225,9781
"71","BIF",31.84944444,-106.37972222,1163
"72","BIL",45.8075,-108.543055556667,387428
"73","BIS",46.775833335,-100.749166665,195993
"74","BIX",30.410833335,-88.924027775,NA
"75","BJC",39.90888889,-105.11722222,121
"76","BJI",47.5098611075,-94.934166665,21493
"77","BKG",36.53194444,-93.20055556,91505
"78","BKL",41.5175,-81.68311111,1551
"79","BKW",37.78458333,-81.12416667,2347
"80","BLD",35.947444444,-114.861055556,73101
"81","BLI",48.79361111,-122.53611111,398264
"82","BLM",40.18666667,-74.12472222,2
"83","BLV",38.54402778,-89.843194445,246
"84","BMG",39.1420370366667,-86.61537037,1277
"85","BMI",40.47958333,-88.921666665,274445
"86","BNA",36.125555555,-86.68,4409761
"87","BOI",43.56486111,-116.22388889,1403803
"88","BOS",42.363333335,-71.00625,11711024
"89","BPT",29.95083333,-94.02013889,17491
"90","BQK",31.2589814833333,-81.46638889,29926
"91","BQN",18.4951851833333,-67.1296296266667,239113
"92","BRD",46.4011904771429,-94.1355555571429,16371
"93","BRL",40.78472222,-91.124444445,2809
"94","BRO",25.907444442,-97.426444444,84383
"95","BTL",42.30777778,-85.24888889,262
"96","BTM",45.952916665,-112.495694445,25410
"97","BTR",30.53266667,-91.150111112,381460
"98","BTV",44.47236111,-73.153194445,639907
"99","BUF",42.9406481516667,-78.7324074083333,2601091
"100","BUR",34.2001851866667,-118.358055556667,2239257
"101","BVO",36.7633333333333,-96.0110185166667,4
"102","BVY",42.584000002,-70.916,6
"103","BWG",36.96333333,-86.42097222,403
"104","BWI",39.175444444,-76.668888888,10591134
"105","BYW",48.57902778,-122.825694445,NA
"106","BZN",45.778,-111.153111108,364442
"107","C01",34.21375,-119.09444444,NA
"108","CAD",44.275555555,-85.41902778,4
"109","CAE",33.9386111133333,-81.1181481466667,480687
"110","CAK",40.914444445,-81.44263889,770637
"111","CDC",37.701666665,-113.0975,5911
"112","CDR",42.83625,-103.09652778,1757
"113","CEC",41.78013889,-124.23625,14341
"114","CEF",42.195833335,-72.53263889,1500
"115","CEZ",37.30291667,-108.62763889,6342
"116","CGF",41.56513889,-81.48652778,7
"117","CGI",37.224444445,-89.57125,4855
"118","CGS",38.98055556,-76.9225,NA
"119","CHA",35.035833335,-85.20361111,292528
"120","CHO",38.13961111,-78.452611112,197477
"121","CHS",32.89888889,-80.039722225,1010268
"122","CIC",39.795555555,-121.8575,23270
"123","CID",41.8845370333333,-91.7076851833333,462325
"124","CIU",46.246388885,-84.469305555,14308
"125","CKB",39.296888892,-80.228111112,9840
"126","CKM",34.29972222,-90.51222222,28
"127","CLD",33.1285185166667,-117.279814813333,28184
"128","CLE",41.409722218,-81.853777776,4458825
"129","CLL",30.589027775,-96.364166665,72182
"130","CLM",48.119583335,-123.496666665,10167
"131","CLT",35.2155555566667,-80.9426851866667,17274745
"132","CLU",39.26194444,-85.89638889,NA
"133","CMH",39.9963425916667,-82.8898148116667,3127260
