"FROM","TO","SIZE"
1,8,1
1,63,1
1,106,1
1,119,2
1,191,1
1,296,3
1,420,3
1,469,1
1,523,9
1,590,1
1,825,3
2,50,4
2,55,2
2,58,2
2,73,90
2,75,2
2,94,4
2,97,11
2,131,2
2,141,2
2,147,5
2,152,18
2,153,36
2,166,16
2,173,4
2,174,27
2,193,22
2,209,1
2,213,19
2,215,1
2,217,88
2,243,3
2,293,4
2,340,1
2,343,1
2,355,1
2,441,1
2,481,31
2,553,1
2,567,1
2,637,1
2,658,65
2,671,111
2,688,1
2,709,34
3,20,4
3,38,1
3,60,5
3,82,1
3,116,1
3,118,2
3,131,1
3,141,1
3,151,1
3,153,10
3,158,2
3,160,1
3,180,1
3,209,2
3,212,1
3,215,1
3,229,1
3,268,1
3,293,1
3,298,4
3,327,2
3,333,2
3,404,1
3,441,1
3,492,1
3,520,1
3,526,1
3,584,1
3,637,1
3,767,1
3,885,1
4,181,3
4,408,2
4,508,1
4,571,1
4,704,1
5,32,1
5,133,1
5,160,1
5,336,1
5,556,2
5,703,5
6,31,2
6,48,2
6,60,1
6,120,2
6,123,4
6,176,5
6,192,5
6,333,1
6,399,1
6,420,1
6,541,1
6,704,3
7,13,8
7,104,7
7,124,4
7,163,7
7,168,1
7,178,9
7,251,1
7,271,1
7,415,1
7,609,3
8,1,32
8,27,31
8,54,43
8,63,1
8,106,37
8,114,31
8,119,32
8,130,1
8,158,40
8,167,32
8,182,32
8,239,1
8,247,32
8,261,32
8,263,31
8,278,38
8,296,31
8,302,32
8,308,31
8,311,33
8,321,31
8,410,31
8,456,1
8,482,33
8,506,31
8,515,31
8,523,33
8,548,31
8,603,31
8,643,31
8,645,31
8,717,31
8,808,31
9,34,1
9,83,2
9,121,1
9,221,1
9,301,1
9,363,2
10,32,1
10,44,2
10,53,6
10,75,1
10,78,2
10,82,8
10,99,9
10,107,1
10,122,1
10,128,7
10,154,9
10,186,7
10,202,7
10,216,1
10,227,1
10,228,1
10,232,6
10,248,6
10,249,2
10,276,8
10,307,6
10,313,2
10,322,7
10,330,8
10,384,7
10,433,6
10,447,6
10,463,2
10,472,3
10,480,6
10,485,6
10,604,6
10,652,1
11,41,4
11,79,4
11,201,4
11,214,4
11,270,4
11,310,5
11,313,4
11,316,4
11,328,4
11,334,4
11,360,4
11,367,4
11,427,4
11,446,4
11,479,4
11,605,4
11,636,4
11,652,4
11,677,4
11,754,4
11,755,4
11,756,4
11,828,4
11,915,4
13,7,5
13,77,3
13,104,1
13,124,4
13,126,7
13,135,1
13,156,8
13,242,2
13,267,3
13,271,3
13,416,2
14,43,4
14,57,1
14,101,20
14,122,2
14,169,2
14,189,1
14,226,1
14,232,3
14,276,1
14,279,1
14,451,2
14,674,3
15,26,10
15,76,22
15,222,14
15,227,14
15,444,8
15,503,1
16,63,42
16,90,1
16,116,22
16,381,8
16,476,138
16,652,1
17,2,1
17,55,6
17,97,10
17,131,1
17,141,1
17,153,2
17,166,10
17,198,8
17,209,7
17,215,1
17,293,4
17,343,4
17,349,8
17,447,6
17,528,1
17,536,2
17,567,6
17,591,2
17,637,13
18,40,1
18,66,6
18,74,7
18,102,1
18,110,3
18,116,1
18,134,1
18,216,1
18,240,1
18,268,1
18,290,2
18,303,4
19,22,1
19,24,1
19,64,1
19,69,2
19,72,1
19,83,6
19,117,1
19,141,2
19,162,2
19,166,3
19,176,1
19,188,1
19,204,1
19,211,1
19,216,3
19,260,1
19,262,4
19,275,1
19,288,1
19,362,1
19,472,1
19,578,3
19,709,3
20,3,4
20,38,3
20,49,2
20,60,4
20,153,4
20,200,3
20,239,1
20,249,1
20,251,4
20,343,2
20,357,3
20,472,1
20,520,1
20,526,1
20,545,1
20,552,1
20,565,1
20,652,2
20,773,1
21,42,3
21,429,397
21,466,1
22,19,1
22,34,2
22,133,8
22,340,1
22,725,1
24,318,2
26,15,2
26,76,2
26,135,1
26,222,1
26,376,3
26,503,2
27,8,4
27,106,9
27,114,3
27,372,4
27,515,6
27,595,1
28,46,18
28,53,15
28,57,8
28,101,17
28,257,16
28,265,21
28,307,1
28,463,2
28,583,15
29,288,6
29,329,5
29,362,4
29,365,1
29,413,4
29,454,4
29,624,8
29,656,3
29,826,8
30,34,1
30,81,1
30,83,2
30,85,3
30,91,1
30,119,1
30,130,1
30,165,1
30,169,1
30,171,1
30,207,3
30,235,1
30,262,2
30,282,19
30,314,2
30,330,1
30,443,1
30,466,2
30,472,1
30,522,24
30,524,5
31,6,4
31,181,4
31,192,2
31,333,3
31,399,1
31,426,1
31,511,6
31,541,8
31,593,1
31,704,5
32,10,1
32,41,2
32,44,8
32,64,6
32,68,1
32,72,1
32,76,6
32,78,3
32,81,2
32,83,8
32,99,3
32,118,6
32,134,4
32,141,1
32,162,1
32,166,2
32,169,6
32,171,4
32,172,1
32,174,2
32,176,2
32,185,1
32,187,14
32,189,1
32,196,1
32,254,2
32,260,2
32,268,15
32,289,3
32,303,1
32,305,5
32,309,1
32,312,15
32,313,6
32,319,1
32,320,2
32,323,2
32,394,1
32,410,1
32,411,4
32,441,1
32,463,1
32,480,2
32,486,3
32,512,1
32,540,1
32,547,1
32,652,1
32,853,1
34,5,15
34,9,31
34,22,2
34,37,7
34,51,1
34,63,2
34,83,6
34,89,2
34,91,5
34,118,3
34,120,2
34,121,1
34,137,1
34,145,1
34,150,7
34,160,10
34,188,7
34,204,2
34,211,1
34,221,18
34,239,1
34,268,1
34,301,5
34,330,1
34,452,1
34,497,2
34,545,6
34,556,15
34,561,15
34,703,1
35,38,6
35,120,1
35,131,5
35,144,9
35,637,5
36,176,1
36,280,2
37,9,3
37,34,4
37,58,1
37,103,3
37,108,1
37,139,1
37,341,1
38,5,1
38,35,7
38,103,16
38,131,5
38,143,1
38,144,5
38,145,2
38,146,3
38,209,1
38,213,2
38,229,1
38,298,1
38,343,2
38,349,2
38,637,8
38,688,1
38,761,2
38,768,3
38,802,1
39,105,2
39,108,5
39,152,2
39,203,1
39,378,3
39,392,1
39,469,1
39,662,2
40,18,1
40,95,1
40,138,1
40,158,1
40,176,1
40,245,1
40,268,3
40,304,6
40,475,1
40,519,1
40,564,2
41,32,2
41,49,1
41,61,1
41,74,1
41,78,1
41,99,1
41,134,2
41,181,7
41,214,2
41,234,9
41,248,11
41,310,2
41,313,3
41,420,1
41,454,2
41,462,9
41,652,3
42,21,7
42,235,1
42,285,1
42,299,1
42,359,1
42,431,1
42,448,1
42,466,6
43,14,5
43,19,1
43,46,2
43,76,1
43,81,1
43,101,3
43,112,4
43,120,1
43,134,1
43,162,31
43,169,26
43,185,5
43,226,5
43,229,3
43,255,2
43,262,3
43,279,2
43,283,3
43,305,25
43,330,2
43,337,2
43,342,2
43,354,2
43,400,1
43,409,3
43,451,5
43,472,1
43,484,2
43,651,6
43,674,5
43,693,6
44,10,5
44,32,3
44,57,26
44,64,1
44,78,44
44,80,23
44,81,39
44,99,1
44,116,1
44,122,23
44,148,21
44,162,7
44,164,24
44,169,1
44,189,28
44,195,28
44,211,1
44,230,2
44,249,29
44,254,25
44,257,21
44,262,2
44,279,1
44,289,1
44,305,1
44,320,1
44,330,2
44,432,23
44,440,24
44,463,2
44,480,3
44,498,1
44,583,5
44,661,5
44,711,21
44,744,5
44,773,12
45,75,1
45,91,1
45,137,2
45,234,15
45,263,1
46,28,12
46,101,14
46,112,2
46,185,2
46,484,1
47,66,2
47,80,5
47,93,2
47,726,2
48,6,2
48,40,2
48,54,2
48,79,1
48,88,6
48,95,2
48,116,20
48,134,3
48,176,1
48,191,2
48,245,2
48,247,2
48,259,2
48,273,2
48,288,1
48,321,2
48,342,2
48,380,3
48,381,4
48,410,1
48,420,1
48,445,3
48,475,8
48,519,2
48,523,2
48,546,2
48,605,1
48,627,1
48,636,2
48,756,1
49,20,1
49,402,1
49,404,1
49,611,4
50,2,4
50,58,1
50,93,1
50,96,1
50,99,3
50,133,1
50,134,2
50,143,14
50,146,1
50,180,1
50,216,1
50,229,3
50,234,3
50,282,1
50,295,1
50,358,1
50,367,1
50,409,1
50,462,2
50,507,1
50,511,1
50,547,1
50,561,4
50,604,2
50,637,1
50,719,1
51,34,1
51,208,7
51,307,1
51,504,1
51,829,1
52,97,15
52,103,16
52,125,2
52,166,1
52,212,6
52,343,3
53,43,2
53,57,5
53,82,5
53,101,3
53,128,10
53,154,2
53,186,3
53,226,10
53,232,6
53,248,1
53,249,5
53,271,3
53,276,6
53,283,3
53,322,4
53,364,4
53,485,1
53,641,1
53,693,1
53,757,8
54,8,5
54,106,4
54,116,2
54,138,3
54,242,1
54,247,1
54,261,2
54,311,1
54,523,4
55,2,1
55,38,1
55,103,2
55,145,1
55,166,2
55,174,4
55,215,2
55,349,7
55,459,1
55,473,4
56,84,1
56,165,8
56,197,1
56,294,3
56,350,7
56,386,5
57,44,2
57,53,2
57,103,3
57,122,2
57,189,2
57,254,1
57,257,7
57,440,1
57,711,3
58,37,1
58,73,3
58,75,1
58,83,6
58,85,6
58,97,1
58,126,1
58,131,1
58,141,5
58,145,1
58,147,2
58,174,4
58,207,2
58,215,7
58,217,2
58,243,2
58,262,1
58,323,4
58,349,2
58,355,6
58,402,1
58,418,1
58,528,9
58,709,4
58,722,19
58,723,3
59,7,2
59,13,2
59,77,1
59,124,1
59,126,3
59,236,2
59,251,3
59,271,5
59,300,2
59,366,4
59,401,2
60,3,1
60,6,1
60,20,1
60,118,2
60,153,3
60,160,2
60,190,7
60,333,4
60,358,1
60,391,1
60,405,6
60,420,5
60,504,1
60,508,1
60,558,3
60,650,1
61,41,1
61,235,3
61,285,1
61,294,2
61,353,1
61,400,1
61,589,1
62,117,12
62,318,12
62,492,14
63,1,2
63,8,2
63,16,34
63,34,1
63,120,1
63,476,1
64,26,1
64,68,1
64,75,2
64,76,3
64,121,1
64,130,1
64,131,1
64,170,8
64,176,2
64,181,1
64,265,1
64,268,6
64,289,2
64,293,1
64,312,2
64,347,1
64,437,5
64,486,1
64,492,1
65,208,1
65,218,16
65,471,1
65,839,2
65,843,2
66,47,1
66,138,1
66,371,1
66,652,1
67,154,2
67,226,2
67,447,1
67,580,1
68,211,1
68,268,7
69,19,5
69,75,2
69,130,1
69,171,3
69,227,1
69,262,19
70,84,5
70,96,1
70,100,4
70,124,1
70,183,4
70,227,7
71,116,1
71,208,1
71,240,11
72,19,5
72,151,2
72,179,1
72,262,3
72,312,1
72,323,7
72,393,11
72,442,2
72,696,2
72,763,1
72,764,2
72,765,3
73,2,93
73,17,1
73,55,1
73,58,4
73,85,1
73,94,8
73,97,7
73,103,4
73,120,2
73,131,2
73,141,5
73,147,6
73,166,11
73,173,5
73,174,22
73,193,4
73,198,1
73,207,1
73,209,11
73,213,2
73,215,2
73,217,15
73,233,1
