"FROM","TO"
1,85
1,146
1,167
1,355
1,359
1,633
1,723
1,817
2,29
2,143
2,203
2,437
2,522
3,19
3,34
3,73
3,202
3,374
4,302
4,391
4,689
5,16
5,103
5,175
5,377
5,417
5,453
5,514
5,761
5,762
6,25
6,179
6,419
6,629
6,676
6,723
6,734
7,98
7,401
7,615
7,655
7,681
8,149
8,605
8,636
9,28
9,295
9,355
9,581
9,683
9,694
10,77
10,219
10,266
10,363
10,558
11,35
11,244
11,257
12,432
12,594
12,595
12,743
13,65
13,160
13,349
13,366
14,235
14,345
14,595
14,645
14,684
14,727
15,206
15,310
15,331
15,380
15,528
15,785
15,796
16,5
16,103
16,175
16,377
16,417
16,453
16,514
16,761
16,762
17,36
17,283
17,786
17,816
18,83
18,223
18,407
18,569
18,816
19,3
19,34
19,73
19,202
19,374
20,64
20,304
20,559
21,394
21,437
21,460
21,611
22,50
22,123
22,207
22,253
22,381
22,850
23,59
23,166
23,214
23,294
23,373
23,482
24,632
24,744
25,6
25,33
25,170
25,179
25,347
25,419
25,629
25,660
25,676
25,723
25,734
25,779
26,342
26,496
26,670
26,774
26,817
27,113
27,351
27,667
27,752
28,9
28,295
28,355
28,581
28,683
28,694
29,2
29,143
29,203
29,437
29,522
30,93
30,441
30,489
30,548
30,733
30,845
31,70
31,215
31,275
31,490
31,549
31,600
32,52
32,484
32,712
32,741
32,742
32,788
32,842
33,25
33,170
33,347
33,660
33,779
34,3
34,19
34,73
34,202
34,250
34,268
34,374
34,402
34,438
35,11
35,244
35,257
36,17
36,197
36,283
36,313
36,319
36,384
36,389
36,393
36,395
36,499
36,515
36,604
36,614
36,699
36,757
36,786
36,814
36,816
37,236
37,284
37,431
37,513
38,105
38,246
38,280
38,471
38,554
38,584
38,740
38,772
39,100
39,102
39,111
39,150
39,311
39,424
39,472
39,811
39,818
40,269
40,307
40,611
40,625
41,216
41,233
41,278
41,701
42,68
42,84
42,500
42,613
42,617
42,654
42,771
42,804
43,421
43,529
43,751
44,382
44,503
44,562
44,652
44,679
44,710
45,475
45,607
45,706
45,765
46,156
46,221
46,336
46,566
46,603
46,627
46,628
46,705
47,350
47,443
47,711
47,771
48,408
48,439
48,445
48,555
48,703
48,722
49,82
49,101
49,312
49,498
49,512
49,543
50,22
50,123
50,207
50,253
50,381
50,850
51,259
51,288
51,322
51,383
51,534
51,574
51,616
51,732
52,32
52,484
52,712
52,741
52,742
52,788
52,842
53,195
53,263
53,503
53,523
54,547
54,572
54,735
54,748
55,101
55,287
55,630
56,76
56,89
56,326
56,344
56,612
57,126
57,160
57,190
57,217
57,230
57,239
57,366
57,464
57,518
57,565
57,692
57,715
57,758
57,803
58,168
58,200
58,204
58,272
58,341
58,379
58,537
58,621
59,23
59,166
59,214
59,294
59,373
59,482
60,303
60,332
60,429
60,590
60,661
61,176
61,251
61,556
61,622
62,69
62,296
62,469
62,666
62,794
63,95
63,106
63,125
63,154
63,263
63,731
63,843
64,20
64,304
64,559
65,13
65,160
65,349
65,366
66,427
66,572
66,718
66,792
67,225
67,519
67,605
67,794
68,42
68,500
68,771
68,804
69,62
69,296
69,469
69,666
69,794
70,31
70,215
70,275
70,490
70,549
70,600
71,535
71,766
72,108
72,321
72,359
72,671
72,835
73,3
73,19
73,34
73,84
73,202
73,374
73,479
73,580
73,851
74,306
74,449
74,615
74,766
75,79
75,633
75,682
76,56
76,89
76,326
76,344
76,392
76,612
76,669
76,770
76,847
77,10
77,90
77,132
77,219
77,261
77,266
77,363
77,364
77,398
77,412
77,428
77,452
77,494
77,525
77,558
77,593
77,662
77,681
77,690
77,728
77,753
77,791
77,854
78,128
78,144
78,303
78,423
78,675
78,759
79,75
79,633
79,682
80,171
80,199
80,506
80,698
80,737
80,798
81,273
81,304
81,816
82,49
82,101
82,312
82,498
82,512
82,543
83,18
83,223
83,407
83,569
83,816
84,42
84,73
84,479
84,580
84,613
84,617
84,654
84,851
85,1
85,633
85,723
85,817
86,337
86,388
86,414
86,504
86,793
87,163
87,341
87,438
87,509
87,554
87,637
87,709
88,151
88,158
88,291
88,300
88,357
88,406
88,463
88,552
88,584
88,700
88,752
89,56
89,76
89,326
89,344
89,612
90,77
90,104
90,134
90,364
90,412
90,690
90,707
90,765
91,236
91,245
91,298
91,413
91,461
91,462
91,467
91,617
91,697
91,727
91,825
92,94
92,339
92,543
92,558
92,647
92,755
93,30
93,301
93,330
93,430
93,441
93,489
93,520
93,548
93,578
93,592
93,733
93,750
93,778
93,845
94,92
94,339
94,543
94,558
94,647
94,755
95,63
95,106
95,125
95,154
95,263
95,731
95,843
96,169
96,550
96,567
96,717
96,777
97,196
97,228
97,372
97,587
97,844
98,7
98,401
98,615
98,655
98,681
99,248
99,353
99,475
99,634
100,39
100,102
100,150
100,311
100,811
101,49
101,55
101,82
101,287
101,312
101,498
101,512
101,543
101,630
102,39
102,100
102,150
102,311
102,811
103,5
103,16
103,175
103,377
103,417
103,453
103,514
103,761
103,762
104,90
104,134
104,256
104,268
104,388
104,560
104,707
104,765
104,774
104,789
105,38
105,246
105,280
105,471
105,554
105,584
105,740
105,772
106,63
106,95
106,125
106,154
106,263
106,731
106,843
107,247
107,352
107,471
107,503
107,562
107,575
107,585
107,724
107,808
107,838
108,72
108,297
108,321
108,359
108,563
108,588
108,671
108,784
108,835
109,210
109,609
109,631
109,654
110,394
110,431
110,437
110,538
110,574
110,677
110,680
111,39
111,130
111,302
111,424
111,426
111,472
111,740
111,818
112,262
112,273
112,442
112,544
112,584
112,827
113,27
113,351
113,667
113,752
114,157
114,191
114,260
114,485
114,546
114,583
114,606
114,642
115,147
115,228
115,360
115,375
115,376
115,545
115,602
115,619
115,631
115,756
115,812
116,433
116,592
116,776
116,794
117,281
117,308
117,405
117,561
117,571
117,586
117,720
117,764
117,766
118,208
118,358
118,610
118,621
118,624
119,314
119,475
119,585
119,713
120,286
120,359
120,422
120,466
121,124
121,157
121,194
121,330
121,334
121,356
121,444
121,448
121,521
121,575
121,620
121,640
122,325
122,577
122,581
122,686
123,22
123,50
123,207
123,253
123,381
123,850
124,121
124,157
124,330
124,356
124,444
124,448
125,63
125,95
125,106
125,154
125,263
125,731
125,843
126,57
126,217
126,518
126,758
127,159
127,596
127,800
127,819
128,78
128,144
128,303
128,423
128,675
128,759
129,434
129,578
129,602
129,638
129,644
130,111
130,197
130,302
130,426
130,490
130,491
130,623
130,740
131,155
131,390
132,77
132,428
132,494
132,525
132,662
132,681
132,728
132,753
132,791
133,368
133,400
133,531
133,617
133,658
133,740
134,90
134,104
134,707
134,765
135,355
135,530
135,765
135,815
136,229
136,425
136,427
136,474
136,502
136,586
137,447
137,602
138,279
138,435
138,573
138,589
139,224
139,450
139,488
139,526
139,626
139,805
139,829
