"","ORIGIN","DEST","PASSENGERS"
"1","1G4","BLD",1366
"2","7AK","DUT",71
"3","7AK","SNP",26
"4","A29","A43",6
"5","A43","A29",3
"6","A43","ALZ",2
"7","A43","BFB",1
"8","A43","DGB",1
"9","A43","EHR",2
"10","A43","KKB",1
"11","A43","KPR",1
"12","A43","KWP",1
"13","ABE","ATL",4521
"14","ABE","CLT",4094
"15","ABE","DTW",2857
"16","ABE","FLL",1345
"17","ABE","HPN",72
"18","ABE","ORD",2325
"19","ABE","PGD",1696
"20","ABE","PHL",2115
"21","ABE","PIE",1453
"22","ABE","SFB",5111
"23","ABI","DFW",5883
"24","ABI","IFP",149
"25","ABL","IAN",14
"26","ABL","OBU",8
"27","ABL","ORV",20
"28","ABL","OTZ",126
"29","ABL","RDB",1
"30","ABL","SHG",10
"31","ABL","WLK",4
"32","ABL","WTK",6
"33","ABQ","ALS",84
"34","ABQ","ATL",7045
"35","ABQ","AUS",2258
"36","ABQ","BHM",1
"37","ABQ","BNA",9
"38","ABQ","BOI",21
"39","ABQ","BOS",71
"40","ABQ","BUR",315
"41","ABQ","BWI",3330
"42","ABQ","CLE",3
"43","ABQ","CMH",67
"44","ABQ","CNM",192
"45","ABQ","CVG",5
"46","ABQ","DAL",11553
"47","ABQ","DCA",420
"48","ABQ","DEN",20671
"49","ABQ","DFW",18561
"50","ABQ","DSM",47
"51","ABQ","DTW",12
"52","ABQ","FLL",35
"53","ABQ","GEG",4
"54","ABQ","HOU",8217
"55","ABQ","HRL",1
"56","ABQ","IAH",5913
"57","ABQ","IFP",133
"58","ABQ","ISP",20
"59","ABQ","JFK",2542
"60","ABQ","LAS",10379
"61","ABQ","LAX",13742
"62","ABQ","LGB",1
"63","ABQ","MCI",2168
"64","ABQ","MCO",435
"65","ABQ","MDW",4119
"66","ABQ","MKE",58
"67","ABQ","MSP",242
"68","ABQ","MSY",131
"69","ABQ","OAK",5762
"70","ABQ","OKC",21
"71","ABQ","OMA",46
"72","ABQ","ONT",43
"73","ABQ","ORD",6600
"74","ABQ","ORF",7
"75","ABQ","PBI",1
"76","ABQ","PDX",1617
"77","ABQ","PHL",10
"78","ABQ","PHX",23198
"79","ABQ","PIT",16
"80","ABQ","PNS",6
"81","ABQ","RNO",11
"82","ABQ","RSW",4
"83","ABQ","SAN",6123
"84","ABQ","SAT",325
"85","ABQ","SDF",12
"86","ABQ","SEA",2203
"87","ABQ","SFO",3860
"88","ABQ","SJC",262
"89","ABQ","SLC",5223
"90","ABQ","SMF",123
"91","ABQ","SNA",1482
"92","ABQ","STL",56
"93","ABQ","SVC",306
"94","ABQ","TPA",29
"95","ABQ","TUL",5
"96","ABQ","TUS",6
"97","ABR","MSP",2265
"98","ABY","ATL",2677
"99","ACK","BOS",965
"100","ACK","EWB",256
"101","ACK","HPN",7
"102","ACK","HYA",1029
"103","ACK","MVY",101
"104","ACT","DFW",3474
"105","ACT","GRK",57
"106","ACT","IAH",44
"107","ACV","SFO",4068
"108","ACY","BOS",145
"109","ACY","BUF",99
"110","ACY","CAE",143
"111","ACY","CEF",37
"112","ACY","CLE",113
"113","ACY","CLT",74
"114","ACY","DTW",149
"115","ACY","FAY",84
"116","ACY","FLL",11685
"117","ACY","GPT",79
"118","ACY","GSO",58
"119","ACY","ILM",60
"120","ACY","JAX",37
"121","ACY","LBE",108
"122","ACY","MCO",10260
"123","ACY","MHT",50
"124","ACY","MYR",2811
"125","ACY","ORF",76
"126","ACY","PBI",5244
"127","ACY","PIT",144
"128","ACY","PWM",34
"129","ACY","RDU",160
"130","ACY","RIC",57
"131","ACY","ROC",40
"132","ACY","RSW",7979
"133","ACY","SDF",87
"134","ACY","SFB",45
"135","ACY","SYR",74
"136","ACY","TPA",4736
"137","ADK","ANC",159
"138","ADQ","AKK",46
"139","ADQ","ANC",4131
"140","ADQ","ENA",25
"141","ADQ","KLN",78
"142","ADQ","KOZ",76
"143","ADQ","KYK",14
"144","ADQ","OLH",124
"145","ADQ","ORI",81
