"","ORIGIN","DEST","PASSENGERS"
"1","ABE","ALB",2869
"2","ABE","ATL",51127
"3","ABE","AZO",48
"4","ABE","BNA",83
"5","ABE","BOS",1100
"6","ABE","CLE",18894
"7","ABE","CLT",26185
"8","ABE","CVG",47630
"9","ABE","DAY",78
"10","ABE","DSM",5
"11","ABE","DTW",52844
"12","ABE","EWR",310
"13","ABE","FLL",24045
"14","ABE","FNT",30
"15","ABE","GRB",60
"16","ABE","IAD",26129
"17","ABE","IND",165
"18","ABE","LAS",860
"19","ABE","LAX",1630
"20","ABE","LCK",6769
"21","ABE","LGA",2
"22","ABE","LIT",32
"23","ABE","LNK",122
"24","ABE","MCO",1629
"25","ABE","MDT",48
"26","ABE","MDW",1
"27","ABE","MEM",44
"28","ABE","MIA",333
"29","ABE","MKE",4
"30","ABE","MSN",20
"31","ABE","OMA",544
"32","ABE","ORD",45489
"33","ABE","PBI",619
"34","ABE","PHL",48881
"35","ABE","PIE",29411
"36","ABE","PIT",40754
"37","ABE","PWM",198
"38","ABE","RIC",26
"39","ABE","SDF",44
"40","ABE","SFB",41301
"41","ABE","SLN",778
"42","ABE","STL",7
"43","ABE","SWF",861
"44","ABE","TVC",2
"45","ABE","TYS",50
"46","ABI","CLL",27
"47","ABI","DFW",45005
"48","ABI","EKO",491
"49","ABI","IAH",5495
"50","ABI","IFP",750
"51","ABI","MSP",120
"52","ABI","RNO",124
"53","ABQ","ALB",244
"54","ABQ","ALM",1033
"55","ABQ","AMA",35196
"56","ABQ","ATL",98166
"57","ABQ","AUS",782
"58","ABQ","BHM",11
"59","ABQ","BIL",140
"60","ABQ","BNA",346
"61","ABQ","BOI",2402
"62","ABQ","BOS",675
"63","ABQ","BUR",9095
"64","ABQ","BWI",30640
"65","ABQ","CLE",795
"66","ABQ","CLT",102
"67","ABQ","CMH",141
"68","ABQ","CNM",2802
"69","ABQ","COS",7183
"70","ABQ","CRP",7
"71","ABQ","CVG",93300
"72","ABQ","CVN",1929
"73","ABQ","DAL",184496
"74","ABQ","DAY",65
"75","ABQ","DCA",1834
"76","ABQ","DEN",247630
"77","ABQ","DFW",268210
"78","ABQ","DRO",1295
"79","ABQ","DSM",181
"80","ABQ","DTW",550
"81","ABQ","EKO",333
"82","ABQ","ELP",57062
"83","ABQ","EWR",1239
"84","ABQ","FAT",15
"85","ABQ","FCA",89
"86","ABQ","FLL",678
"87","ABQ","FMN",9498
"88","ABQ","GEG",2275
"89","ABQ","GGG",1100
"90","ABQ","GTR",63
"91","ABQ","HLN",190
"92","ABQ","HOB",939
"93","ABQ","HOU",45292
"94","ABQ","HRL",285
"95","ABQ","HSV",27
"96","ABQ","IAD",993
"97","ABQ","IAH",149305
"98","ABQ","ICT",36
"99","ABQ","IFP",539
"100","ABQ","IND",451
"101","ABQ","JAX",56
"102","ABQ","JFK",460
"103","ABQ","LAS",155379
"104","ABQ","LAX",131603
"105","ABQ","LBB",33252
"106","ABQ","LCH",138
"107","ABQ","LGA",4257
"108","ABQ","LIT",1935
"109","ABQ","LWS",114
"110","ABQ","MAF",24103
"111","ABQ","MCI",44467
"112","ABQ","MCO",50870
"113","ABQ","MDW",58955
"114","ABQ","MEM",28
