"","AIRPORT","LATITUDE","LONGITUDE","PASSENGERS"
"1","1B1",42.29013889,-73.71027778,5
"2","1G4",35.988194445,-113.816666665,59826
"3","1N7",40.97111111,-74.9975,2
"4","1NY",42.6370370333333,-77.05277778,7
"5","6B0",43.98513889,-73.095694445,2
"6","ABE",40.65272222,-75.440000002,300297
"7","ABI",32.4106481466667,-99.68111111,82616
"8","ABQ",35.040000002,-106.608277778,2476555
"9","ABR",45.4482870383333,-98.422175925,25549
"10","ABY",31.53388889,-84.195277775,31003
"11","ACK",41.253777782,-70.060055556,182089
"12","ACT",31.611805555,-97.229444445,62549
"13","ACV",40.978101855,-124.108287035,56623
"14","ACY",39.456944445,-74.57777778,540138
"15","ADW",38.81083333,-76.866999996,153
"16","AEX",31.325833335,-92.547777775,148157
"17","AFK",40.6062962983333,-95.86689815,4
"18","AFW",32.9884126985714,-97.31892857,925
"19","AGC",40.3545370333333,-79.9298148166667,157
"20","AGS",33.3694444466667,-81.96444444,259032
"21","AHN",33.948555554,-83.326277776,2074
"22","AIA",42.052999998,-102.804333334,1419
"23","ALB",42.7475,-73.80361111,1192377
"24","ALO",42.556527775,-92.4,20867
"25","ALS",37.435333334,-105.867111114,6966
"26","ALW",46.094944444,-118.28811111,33050
"27","AMA",35.2246296266667,-101.71657407,369955
"28","ANB",33.588500004,-85.857611114,702
"29","AND",34.494027775,-82.70972222,43
"30","ANP",38.94277778,-76.56861111,1
"31","AOO",40.296805555,-78.32,3657
"32","APA",39.571458335,-104.84861111,40
"33","APC",38.21263889,-122.28027778,52
"34","APF",26.152444444,-81.775611112,7
"35","APN",45.079861115,-83.558055555,15893
"36","AR1",35.261944445,-93.09361111,2
"37","ARA",30.0376851866667,-91.88388889,3060
"38","ART",43.991722218,-76.020277778,18684
"39","ASE",39.222833334,-106.868666666,204186
"40","ASH",42.78101852,-71.5127777766667,15
"41","ATL",33.6384523814286,-84.4276190485714,40238438
"42","ATW",44.258000004,-88.519333336,246029
"43","ATY",44.9105555566667,-97.1543518533333,4334
"44","AUG",44.31930556,-69.796944445,5583
"45","AUS",30.24625,-97.685694445,4872414
"46","AVL",35.43522222,-82.54211111,341765
